"درزه، لړزه، خوځه",اختلاج,,,
"زړه درزه، د زړه دربه",اختلاج قلب,,,
"گډوډ کونه، گډونه، اېمنول، يوځاے کونه،گېرونه",اختلاط,,,
" خړنج، بيلوالے، توپير، مړغندۍ، اريشت، اړوک، بډواله، اړوپيچواله",اختلاف,,,
"گډوډے، اړے گړے،  اړگړ",اختلال ,,,
"زندۍ، ساډوبی",اختناق,,,
" رنځوره ګڼۍ ، ناروغه ګڼۍ",اختناق الرحم,,,
"زندۍ ، خپی کوونکے، ساډوبونکے",اختناق اور,,,
"واک، خوښه، وسلاس",اختيار,,,
"پام، ځان ژغورل، ځان ساتنه",اختياط,,,
"اخځ، سرچينه، مورينځه",اخذ,,,
"پاے، پايڅوړ، پتوړه",اخر,,,
"اېستنه، وېستنه، څکانه، باسل، وېستل ، وتون، وتنه، واته",اخراج,,,
"اکوړ، ورغان، غوز، چغزۍ، گگرے، وزغه",اخروٹ,,,
"وروسترے، وروستے، پسينه  ، روستاړے، سريځ",اخرى,,,
"ځانگړے، ځانله",اخص,,,
"وريادونه، په غوږ وهنه",اخطار,,,
" ښه نيت، روغ نيت، مروت، پت",اخلاص,,,
"ښه خويونه، سړيتوب",اخلاق,,,
"ملگری، روڼه",اخوان,,,
"ورورولى، ورورگلوی",اخوت,,,
ورورولى او برابرى,اخوت و مساوات,,,
"څانگه، چلونځے",اداره,,,
"سرليکنه، ستر خبر",اداريه,,,
"ناخوښ، ناخورسند، دلگير، زهير، چرچاک، خواشنے، خپه، نژند، رنځه",اداس,,,
"چرچاک، خواشينى، خپگان",اداسى,,,
"نندارغاړے، پېرگر",اداکار,,,
"پېرگری، پېرونه وهل",اداکارى,,,
"اپال، درناوے، سرلوينه، ادب",ادب,,,
"ليکنه، څېړنه، پوهنه",ادب,,,
"ادبى پنځونه، ادبى هستونه ",ادبى تخليق,,,
"ادبى ژبه، ادبژبه، ليکژبه",ادبى زبان,,,
"ادبى پهير، ادبی دور",ادبى لهر,,,
"ليکنې، څېړنې، ادبی پنگه",ادبيات,,,
" ادبی پېر، ادبی دوره",ادبی دور,,,
"ادبی بهير، ادبی جريان",ادبی رحجان,,,
" ادبی ژبه، ادبی ليک",ادبی زبان,,,
"ادبی  پېر، ادبی دوره",ادبی عصر,,,
"نوم نښان، اته پته، درک، ځيرکاوے، پوهېدنه، بر څېره کونه",ادراک,,,
"غوښتنه، غوښت، سوال، ابره، يبره",ادعا ,,,
"نغړدنه، زغمونه",ادغام,,,
"سړيتوب، د سړی ښه او نېک خويونه او کړنې",ادميت,,,
"بې ارزښته، سپک، ټيټ",ادنى,,,
"نيمه شپه، شومه دم",ادهى رات,,,
"منځمنگے، د رسيدلی عمر بنده ",ادهيڑ عمر,,,
" نيمگړے ، ناپورا",ادھورا,,,
"دورونه، مهالونه",ادوار,,,
"پتون، ورون، ولے",ادوم,,,
"داروگان، درمل",ادويه,,,
"ادبپوه، د ادب استاد",اديب,,,
"تمځے، ټيکاوځے",اڈہ,,,
"بانگ، غږ",اذان,,,
"اېلے، تابېدار، مننونکے، اورېدونکے",اذعان,,,
"خوښه، مننه",اذن,,,
"غال، ځور، کړاو، نغند، تړان",اذيت,,,
"غالندے ، ځوراند",اذيت ناک,,,
"مريدى، گروهه",ارادت,,,
"په نيت سره، په انده، په هنگ، په لوے لاس",ارادتاّ,,,
"هوډ، تکل، نيت، ويلاړ، هنگ",اراده,,,
"غړی ، ممبران ",اراکين,,,
"دمه، ډډه لگونه، اښے، سوکه توب",ارام,,,
" هوسه، سا هيله",ارام ده,,,
"سوکالے، ارام خوښه، لټ",ارام طلب,,,
"پورې را پورې، پورې وورې",ارپار,,,
" اړيکه، تړاو",ارتباط,,,
اړيکپېر (ګرامر),ارتباطى حالت,,,
"شا تگ، پرشاتگ",ارتجاع,,,
"تورشاتگ، بربادی ",ارتجاع سياه,,,
"بارول، يون، روانېدل",ارتحال,,,
"رپېدنه، رپا",ارتعاش,,,
"اوچت والے، لوړه، لوړوالے، دنگوالے",ارتفاع,,,
"وده، غوړېدنه، غوړيدنگ، ختون، لوړتيا، پرمختيا، پوختابه",ارتقاء,,,
"منځول ، منځوے ، پيرانيه ",ارتکاز,,,
هډ درملے,ارتهوپيڈک,,,
"ښاغلې، د لوړې پوړۍ خاوند",ارجمند,,,
"وېلنه، وېړياتوب، ارزانی",ارزانی,,,
"هيله، اومېن، تلوسه",ارزو,,,
"هيلمن، ارزومن، اږل، لېوال",ارزومند,,,
"استول، لېږل",ارسال,,,
"خاور پوها ند، ځمکپوهاند",ارض شناس,,,
"خاور پوهنه، ځمکپوهنه",ارض شناسى,,,
"ليکل، کښل",ارقام,,,
"زوړواله، زوړپالنه، زوړساتنه",ارکائی ازم,,,
"زوړوال، زوړپالن، زوړساتے",ارکائیسٹ,,,
"تاتمل، خلېت، تلوسه، ارمان",ارمان,,,
"سوغات، خونے، ډالۍ",ارمغان,,,
"پټاټه، کچالو، يو ډول سابه دی",اروی,,,
"خمسور، خپلواک، وارسته",ازاد,,,
"ځوراند، ازاری",ازار دهنده,,,
"ودنے ، د واده اړوند",ازدواجى,,,
"غمژن، دلگير، غمگين، زهير",ازرده,,,
"تل، مدام،  تل تر تله",ازل,,,
"ازمېښت، ازماينه، ازمېيل",ازمائش,,,
"له همدوۍ، له دوۍ سره",ازيں,,,
"له دې امله، له دې کبله، له دې توسنه، له دې سوبه",ازيں سبب,,,
په دې لړ کې,اس ضمن ميں,,,
"بلخه، تاداو، آره، بنسټ، جدر، وېخ، بېخ، بنچک",اساس,,,
لرغونه کيسې,اساطير,,,
"روغتون، د رنځورځے",اسپتال,,,
"اودرېدل، پاڅېدل، نېغېدل، ولاړ",استاد,,,
" ښونے، ښياند، استاد",استاد,,,
"تېرے، ځور",استبداد,,,
"لوټمار، زبېښناک، زبېښنه",استثمار,,,
"بيدوی، پرته والے",استثناء,,,
"پرته، ځنې",استثنائی,,,
"تروړنه، لاس تاوونه، ځبېښنه، ځبېښل",استحصال,,,
"ځبېښناک ، تروړونکے",استحصالی,,,
"سوبونه، بلنه",استحضار,,,
"رښته، د رښتې اړوند",استحقاق,,,
"رښتيز، د رښتې اړوند",استحقاقى,,,
"ټينگاو، ټينگښت، پوختون",استحکام,,,
"خېر غوښتنه، دروېزه گری",استخاره,,,
"کم گڼل، سپک گڼل، سپکاوے",استخفاف,,,
"پيلمه، ځان ژغورنه",استخلاص,,,
"هډ، هډوکی",استخوان,,,
"زوزاد پلورنه، د مشرانو په نوم ځان ساتنه  ",استخوان فروشى,,,
"غوښتنه، سوال کونه",استدعا,,,
"گلکه، دليل",استدلال,,,
"پج، د نايانوچاړه ",استرا,,,
"سا اغستنه، دمه کونه، ارام، خپېغز، ډډه لگونه،سوکه توب، سا هيله، اښے ",استراحت,,,
"سانگار، توسخورے",استسقا,,,
"تاغارک، د تندې ناروغی",استسقاء,,,
"امرل، ټاکنه",استصواب,,,
"وس، وسمنی، توان",استطاعت,,,
"غوښتنه، سوالی، پور، نغوته",استعاره,,,
"کومک غوښتل، مرسته غوښتل",استعانت,,,
"بيړه، تلوار، توندی",استعجال,,,
"وړتيا، توان، وس",استعداد,,,
"ﻻس اغستنه، کار پرېښے",استعفى,,,
"ښکېلاک ، زورگيری",استعمار,,,
"گښت، کارول، کارونه",استعمال,,,
"مدد غوښتنه، غاو، نالښت",استغاثه,,,
" هېښنده، اريانوونکے",استغجاب,,,
"بوخت، لگيا",استغراق ,,,
"بې پروای، نه پاملرنه، نه لېوالتيا",استغنا,,,
"گټه اغستنه، ښېگڼه، موټ",استفاده,,,
"الټۍ، باکۍ، زړه سوه",استفراع,,,
"گرځون، د گرځولو اړوند",استفراق,,,
"پښتنه، تپوس، سوال",استفسار,,,
"سواليه نښه، ځان پوهول، پښتنښه",استفهام,,,
"ټينگوالے، ټينگار، دړون، څوار",استقامت,,,
"لټون، څېړنه",استقرا,,,
"ټيکاوول، ټيکاو، ټينگ",استقرار,,,
"آزادی، خپلواکی",استقلال,,,
"هنر مند، کسب گر",استکار,,,
"هنر مندى، کسب گرى",استکارى,,,
"اورېدنه، غوږنيونه",استماع,,,
"کمک، ملا تړ",استمداد,,,
"تلوالی، همېشتوب",استمرار,,,
"پټولن، پټ وينځے، پټ مينځے، اود س، وينځن",استنجاء,,,
"ملنډه، ټوکې، پشاړې",استهزا,,,
"ټينگ، کلک، ټيکاو",استوار,,,
"ملاوېدل، نښتل، لگېدل",استيصال,,,
"لوبځے، لوبغالے",اسٹيڈيم,,,
"ليک اوزار، ليک کالی، ليکتوکی",اسٹيشنری,,,
"هيله، تمه، اسره",اسرا,,,
"رازونه، راز ساتنه، پټ رازونه، خوله",اسرار,,,
" شنده، ډېر لگښت",اسراف,,,
" بيا د سره ، د نوی سره ",اسرنو,,,
"د اوبو جاله ، د ابوځاله ، اوبځاله ",اسفنج,,,
" گگ، پسته ، اوبځاله ",اسفنج,,,
" زيان، توخس",اسقاط حمل,,,
"وسله، درسته",اسلحه,,,
وسله څارے,اسلحه انسپکٹر,,,
"جوبه خونه، کوت، سلاکوټ، وسله خانه ",اسلحه خانہ,,,
"ډول، دود، روده ، ﻻر",اسلوب,,,
غونډ نوم (گرامر),اسم جمع,,,
پژنوم,اسم ذات,,,
ټولنوم,اسم عام,,,
شمېر نوم,اسم عدد,,,
"هسک و زمکه، زمکه اسمان",اسماں و زميں,,,
"تندر، تنا، تڼا، تالنده، ټکه",اسمانى بجلى,,,
"جرگه، لويه جرگه ، مشرانو جرگه ",اسمبيلى,,,
"باور پاڼې، سندونه",اسناد,,,
"دستونه، رمے، نس بهے، ريخ، څپاړه، سدکاو ، چړنتوب",اسهال,,,
"ډېرتور، تک تور",اسود,,,
"بې غمى، ښادمندى، خوشالى، خوب خندا",اسودگى,,,
"تونډه، شتمن، موړ، ورينے، سوکاله، هوسا، خوړنده",اسوده حال,,,
"لاسگير، بندی، زندانی",اسير,,,
"بندے، اړانده",اسيرى,,,
"ژست، نغوته، اشاره",اشاره,,,
" خپرونه، چاپ کونه",اشاعت,,,
"اړنگ، شک",اشباه,,,
"اړنگمن، تکڼے، شکمن",اشتبائى,,,
"برخه وال،گډونوال",اشتراک کننده,,,
"ټولنوال، ټولنواک",اشتراکيت,,,
"بوخت، لگيا، بنديوان",اشتغال,,,
"گډونه، راغونډونه",اشتمال,,,
"لوږه، خورمن",اشتها,,,
"لوږن، لوهن",اشتها اور,,,
"څرگندونه، خپرونه، اوڅارونه",اشتهار,,,
"ځله، ارزو، غوښتنه، لېوالتيا، کاز",اشتياق,,,
"سړی، وگړی",اشخاص,,,
"اورپکے، ورانکارے، اشوراندے، .بلاپېرے، شری ",اشرار,,,
"خانتوره، سپين روبی، لوړبامه خلک",اشرافيہ,,,
"څاښت، ورخيمځه، کچه غرمه",اشراق,,,
"نېک، ښه سړے",اشرف,,,
"بدلې، سندرې، پاړکی",اشعار,,,
"کارونه، بوختياوې",اشغال,,,
"اوښلن، اوښکې بهونکے",اشک آور,,,
"اوښلن لوگے، اوښلن گاز",اشک آور گيس,,,
"وير اوښکې، د غم اوښکې، ماتمی اوښکې",اشک ماتم,,,
"څېرې، گونې، بڼې",اشکا ل,,,
"ښکاره، څرګند، په ډاگه، سپيڅ",اشکار,,,
"رابرسېره، ښکاره، څرگند، زغرد، ډاگيز",اشکارا,,,
"انگل، پېلات",اشوب,,,
"سترگخوږ، سترگ رنځ",اشوب چشم,,,
"څېزونه، شيونه، توکی",اشياء,,,
"سوچه والے، نږه والے",اصالت,,,
"په ځانی توگه، په خپلو لاسو",اصالتأ,,,
"غارنوال، دغار خاوندان",اصحا ب کهف,,,
"ملگرى، ياران، ملونه",اصحاب,,,
"هتيانو ال، د ابرهه لښکر",اصحاب فيل,,,
"ټينگار، ټينگوالے",اصرار,,,
"خرڅ، لگښت، لگاو ، شنده، بدخرڅی",اصراف,,,
"اسځے، اسغوجل، اسخونه",اصطبل,,,
"نومونه، ترم ",اصطلاح,,,
"نومونې، ترمونه",اصطلاحات,,,
"نوغے، جرړه، جړه، بېخ، اره، نسب، بنچک ، مندسه، نژاد",اصل,,,
"مول ، کره بيه ",اصل قيمت,,,
"بېخ و بنسټت، زوزاد، نوغ و ناغ",اصل و نسل,,,
"سمون، سمونه، روغه جوړه، ښپورنه، .رغنده، رغے",اصلاح,,,
"اوبسمون، د اوبو ښپورنه، د اوبو سم سمبالښت",اصلاح آب,,,
"سمونوال، ښپورنے",اصلاح پسند,,,
سمکړ شوے,اصلاح شده,,,
"سمونپالنه، ښپورنه، سمونتيا، ښپورنې",اصلاحات,,,
رغنددوے ,اصلاحى,,,
"هرگز، هېڅکله",اصلآ,,,
آر و آړ,اصلى اور نقلى,,,
آر پېر(پښويه),اصلى حالت,,,
آر کړ(پښويه),اصلى فعل,,,
"سوچه توب، رښتينتوب",اصليت,,,
" نږه، سوچه",اصلی,,,
"بومی، ځای استوگن",اصلی باشنده,,,
آره غونډله (پښويه),اصلی جمله,,,
آرپېر (ګرامر) direct case ,اصلی حالت,,,
آرکړ(پښويه),اصلی فعل,,,
"بوتان، څېرې",اصنام,,,
"اوازونه، غږونه",اصوات,,,
"نورمال، تاد، ښادونه",اصول,,,
"زياتون، زياتوب، زيات والے،ډېروالے، سېواوالے",اضافه,,,
"بدوے، زياتى، سېوا، پالتو، زيات، ډېر، پرخے",اضافى,,,
"بډ، اړپېچن",اضداد,,,
"بې کراری، بې ارامی، ناټکی، .تراره، ترهورتيا، الوے",اضطراب,,,
"اوترے، ترېدل",اضطرار,,,
"اوتر، ترنده ",اضطرارى,,,
"بېړنے اکر، بېړندرے ، تراور",اضطرافى حالت,,,
"وروکلارے،گمراه، اړ",اضل,,,
"اولسوالۍ، سيمې",اضلاع,,,
"نا راستى، مړاوېتوب، نا توانى",اضمحلال,,,
"غاړه اېښونه، تن ورکونه، ځانسپارنه، مننه، غاړه اېښودنه",اطاعت,,,
"داکتران، رنځپوهان، درملگران",اطبا,,,
"اړخونه، سيمې، خواگانې",اطراف,,,
"ماشومان، بچى، کوچنيان",اطفا ل,,,
"تېخورتون، روتون",اطفال خانه,,,
"روتون، تيخورتون",اطفال گاه,,,
"اور وژنه، اورمړه کونه fire fighting",اطفائيہ,,,
"خبرونې، خپرونې، رسونې",اطلا عات,,,
"خبردارے، خبرتيا، خبرانه",اطلاع,,,
"خبر نامه، خبرونه",اطلاع نامه,,,
"اړيکن، اړيکمن",اطلاق,,,
"اوبه، پرخه، ښورمک",اطلال,,,
"ريښم، پوست او مهين ټوکر(کپړا)",اطلس,,,
"ريښمين، پوست او مهين",اطلسى,,,
"اسونۍ، پوراينه، دلاسه، ډاډ، ټپاټ",اطمينان,,,
"پاک، سپېځلے ، ډير پاک ، ډير سپېځلے",اطهر,,,
"لوښې، خويونه ، کړه وړه ",اطوار,,,
"تېرېکوونکے، ناورين",اظلم,,,
"څرگندونه، بر څېره کونه، ښکاره کونه",اظهار,,,
"ښه ښکاره، په ډاگه ، روښانه ",اظهر,,,
"ښکاره، روښانه، ځلنده",اظهر من الشمس,,,
"بيا کړنه، راستنول",اعاده,,,
"مرسته، کمک، ملگرتيا، مدد",اعانت,,,
"باور، ويسا، اتبار، څله",اعتبار,,,
"باورى، اتبارى، زغومند",اعتبارى,,,
"منځومانه، منځکوره، ميانه روے",اعتدال,,,
"منځدريځے، منځلارے، تړمے ",اعتدال پسند,,,
"گوته نيونه، گوتنيوے، ايراد",اعتراض,,,
"دادښت، منښت، ږغرتيا، منټه",اعتراف,,,
"بښنه، غوښتنه",اعتزار,,,
"باور لرنه، گروهه",اعتقاد,,,
"گروهيز، د گروهې اړوند",اعتقادى,,,
"گوښه کېدل، بېلگلوته، انزا",اعتکاف,,,
"ډاډ، باور، اتبار، څله، ويسا",اعتماد,,,
"پام، توجه",اعتنا,,,
"ټوپه، ټوپې",اعجاز,,,
"شمېرنه، گڼنه",اعداد,,,
شمېرے او گڼے,اعداد و شمار,,,
"مرگ سزا، غرغره کول، پانسی کول، زندۍ",اعدام,,,
"نوښان، زور، زېر، پېښ، خوځاوے",اعراب,,,
"بې روخی، بې مخی، مخ اړونه، شا کونه",اعراض,,,
"اوچت ځاے، چرگ چارخولک، کرکره",اعراف,,,
"درنښت، درناوے، لوړاوے، نمانځنه",اعزاز,,,
"درناو نوم، ستاينوم",اعزازى لقب,,,
وياړن غړے,اعزازی ممبر,,,
"د کچ مېچ پېمانې، ټکے(۰)",اعشاريه,,,
"پله،پلې، وړبه، وژه، پټې",اعصاب,,,
"وژنتيا، وړبنے",اعصابى تناؤ,,,
"وژن، وړبيز",اعصابی,,,
"وژخوږ، وژخوږے",اعصابی درد,,,
"اندامونه، څوړنگ",اعضاء,,,
ساييز غړى,اعضاء تنفس,,,
"بښنه، بښانده",اعطا,,,
"ډير لوے، ستر",اعظم,,,
"بېرغونه، نوښانونه، جنډې",اعلام,,,
"زوټه، نچوړ ليک",اعلاميه,,,
"نغاره، څرگندونه انگروزه، ډنډوره، انگه، سلم",اعلان,,,
"په ډاگه، ښکاره، څرگند",اعلانيہ,,,
"شولان، شاهی خواړه",اعلی خوراک,,,
"لوړاوے، ستر دريځ",اعلی مقام,,,
"کړه، چارې، کارونه",اعمال,,,
"چارپاڼه، کړ پاڼه",اعمال نامه,,,
"ړوند، بې لينه",اعمى,,,
"مرستندويان، ملگری",اعوان,,,
"مشران، سپين گيرى، بزرگان",اعيان,,,
"چڼۍ، پانه(د لوهار، ترکاڼ د کارکالے)",اغار,,,
"کونډه، رينه (د څپلو گنډلو)",اغاره,,,
کنده ( د سېلابى اوبو د تېرېدو ﻻر),اغر,,,
"اړتياگا نې، کړمې",اغراض,,,
"ډوبونه، ډو زې ويشتنه",اغراق,,,
"تېروتنې، ناسمې",اغلاط,,,
"بچه با زی، هلک څوبی، ژڼڅوبی",اغلام,,,
"هلکانے، بچه بازے، هلکڅوبے، ژڼڅوبے",اغلامى,,,
"دوه ژبے، هرغاړيز",اغلف,,,
"بې خودى، بې سدی، ناهښی",اغما,,,
"سترگې پټونه، ځان ناگاره کونه",اغماض,,,
"شتمن، بډايان، مالدار، دولتمند",اغنيا,,,
"تښتونه، پټونه، تروښل، تروښنه",اغوا,,,
"امداد، مرسته، ملاتړ-د ملاتړ دپاره غږ ورکول",اغياث,,,
"پردے، بېگانه، غېر",اغيار,,,
"ښېگڼه، گټه، ښمر",افاده,,,
"ښېگڼې، گټې",افاديت,,,
"ښېگړه، د رنځ نه ښه کېدنه،",افاقه,,,
"نمر، لمر،مېر",افتاب,,,
"لمر پښتے، زرتشتے",افتاب پرست,,,
"لمر پښتی،  زتتشتواله ، د لمر غورځه کول",افتاب پرستى,,,
"لمر څرکے، پيتاوے ، سور مخے ، گلالے ",افتاب رخ,,,
"لمر مخے، ملالے، ښايسته",افتاب رو,,,
"لمريز، نمريز",افتابى,,,
"پرانسته، گوتې پورې کونه",افتتاح,,,
"وړمبنې، اولنې",افتتاحى,,,
"پرانستونکې وېنا، وړومبۍ خبرې",افتتاحى کلمات,,,
پېلنيزه غونډه,افتتاحی تقريب,,,
"تنشا، وياړ",افتحار,,,
"وياړلے، وياړمن",افتحار آميز,,,
"تور، تومت، پور",افترا,,,
"بېلتون، جدای، بيلون، بېلگلوت",افتراق,,,
"غوېمنډ، انډوخر،شور زوږ، تتخړی،  شورغوبل، اړدوړ، گډوډے ",افراتفرى,,,
"وگړى، سړی، خلک",افراد,,,
"ډېر، ډېرښت، ډېروالے،زيات، زياتوالے،  بسيارتوب، پريمانی",افراط,,,
"پولی پړسوپ، پولی تورم، زرپرېمانی، زرډېرښت",افراط زر,,,
"شاباس، وا وا، اپرين",افرين,,,
"ډېروالے، زياتوالے",افزائش,,,
"نسل گيری، نسل ډېرونه، پښت خورونه",افزائش نسل,,,
"زيات، ډير، پرېمانه",افزون,,,
"لنډه کيسه، خيالی کيسه",افسانه,,,
"کيسه کښے، کيسه کښاند،کيسه ليکے",افسانہ نگار,,,
"اندى، خيالى،  نارښتونې",افسانوى,,,
"چار واک، کارمند",افسر,,,
